OrderID,CustomerAge,Gender,ProductCategory,Quantity,Price,Discount,PaymentMethod,TotalAmount
46,31,Female,Clothing,2,109,0,UPI,218.0
47,26,Female,Books,2,392,5,UPI,744.8
48,43,Female,Home,5,204,10,Debit Card,918.0
49,19,Male,Books,5,201,15,Cash,854.25
50,37,Male,Books,1,77,0,UPI,77.0
51,45,Male,Clothing,4,398,20,Debit Card,1273.6000000000001
52,64,Female,Sports,3,251,20,Credit Card,602.4
53,24,Male,Electronics,5,99,10,Cash,445.5
54,61,Male,Sports,2,354,10,Cash,637.2
55,25,Male,Home,1,19,15,Debit Card,16.15
56,64,Male,Sports,3,273,10,Debit Card,737.1
57,52,Male,Home,2,277,0,Credit Card,554.0
58,31,Male,Home,2,329,0,Credit Card,658.0
59,34,Male,Electronics,4,127,0,Credit Card,508.0
60,53,Female,Clothing,4,259,15,Cash,880.6
61,57,Female,Electronics,5,68,15,Cash,289.0
62,21,Female,Sports,5,204,10,UPI,918.0
63,19,Male,Home,2,484,15,UPI,822.8
64,23,Male,Books,2,59,0,UPI,118.0
65,59,Female,Books,5,416,5,Cash,1976.0
66,21,Male,Home,5,305,0,Credit Card,1525.0
67,46,Female,Electronics,2,387,5,UPI,735.3
68,35,Male,Clothing,3,106,10,Credit Card,286.2
69,43,Male,Electronics,2,471,20,Credit Card,753.6
70,61,Female,Home,3,136,15,Credit Card,346.8
71,51,Female,Home,3,255,15,UPI,650.25
72,27,Female,Clothing,2,96,0,UPI,192.0
73,53,Female,Sports,1,488,0,Credit Card,488.0
74,31,Female,Sports,5,86,5,UPI,408.5
75,48,Male,Clothing,4,386,15,Debit Card,1312.3999999999999
76,32,Male,Sports,2,213,10,UPI,383.40000000000003
77,25,Male,Books,3,492,0,Credit Card,1476.0
78,31,Female,Sports,2,155,15,Credit Card,263.5
79,40,Female,Sports,5,158,20,Cash,632.0
80,57,Female,Sports,3,120,5,Cash,342.0
81,38,Female,Books,4,499,0,Credit Card,1996.0
82,33,Female,Sports,4,138,0,Debit Card,552.0
83,62,Female,Books,4,262,10,Cash,943.2
84,35,Male,Clothing,1,175,0,Credit Card,175.0
85,64,Male,Electronics,3,306,15,Cash,780.3
86,41,Male,Clothing,3,435,15,Cash,1109.25
87,43,Male,Electronics,1,146,15,Credit Card,124.1
88,42,Male,Clothing,3,288,20,UPI,691.2
89,62,Female,Electronics,1,343,20,Debit Card,274.40000000000003
90,58,Female,Electronics,2,20,0,UPI,40.0
91,46,Female,Home,5,80,20,Credit Card,320.0
92,32,Female,Electronics,4,168,20,Credit Card,537.6
93,62,Female,Electronics,1,225,10,Debit Card,202.5
94,18,Female,Home,1,35,20,Credit Card,28.0
95,42,Male,Sports,1,295,5,Cash,280.25
96,24,Female,Sports,2,171,5,Debit Card,324.9
97,26,Female,Home,1,439,5,UPI,417.04999999999995
98,41,Female,Books,5,111,0,Debit Card,555.0
99,18,Female,Electronics,5,78,15,UPI,331.5
100,61,Male,Electronics,4,142,10,Credit Card,511.2
101,25,Male,Home,2,198,0,UPI,396.0
102,41,Female,Home,5,220,15,UPI,935.0
103,28,Male,Books,3,252,10,UPI,680.4
104,34,Male,Sports,3,175,10,Debit Card,472.5
105,25,Female,Clothing,3,421,10,Cash,1136.7
106,52,Female,Sports,1,419,5,UPI,398.04999999999995
107,52,Female,Electronics,1,70,5,Debit Card,66.5
108,50,Female,Home,3,371,5,Debit Card,1057.35
109,22,Female,Books,4,288,10,Cash,1036.8
110,59,Male,Sports,4,439,10,Debit Card,1580.4
111,56,Female,Books,1,122,5,Credit Card,115.89999999999999
112,58,Female,Sports,3,39,10,Credit Card,105.3
113,45,Female,Electronics,4,332,5,Credit Card,1261.6
114,24,Male,Clothing,1,485,5,Cash,460.75
115,26,Female,Books,3,170,5,Debit Card,484.5
116,25,Female,Books,2,243,15,Credit Card,413.09999999999997
117,29,Female,Clothing,3,396,10,UPI,1069.2
118,51,Male,Books,3,462,0,Debit Card,1386.0
119,50,Female,Books,5,386,5,Credit Card,1833.5
120,40,Female,Sports,5,348,0,Debit Card,1740.0
121,41,Female,Sports,2,179,15,Credit Card,304.3
122,54,Male,Clothing,2,327,10,UPI,588.6
123,52,Female,Electronics,3,195,5,Debit Card,555.75
124,61,Female,Books,4,66,5,Credit Card,250.79999999999998
125,57,Female,Electronics,2,249,5,Credit Card,473.09999999999997
126,39,Male,Clothing,3,266,0,UPI,798.0
127,44,Female,Clothing,1,367,15,UPI,311.95
128,52,Female,Sports,5,210,10,Credit Card,945.0
129,18,Female,Books,4,453,15,Credit Card,1540.2
130,52,Male,Home,3,334,5,Cash,951.9
131,54,Male,Clothing,1,324,15,Cash,275.4
132,64,Female,Books,5,311,0,Debit Card,1555.0
133,31,Male,Electronics,1,115,20,Debit Card,92.0
134,20,Male,Sports,3,299,20,Cash,717.6
135,18,Male,Electronics,2,110,10,Credit Card,198.0
136,22,Female,Clothing,5,106,10,UPI,477.0
137,43,Female,Clothing,1,162,15,Debit Card,137.7
138,31,Male,Electronics,2,435,10,Credit Card,783.0
139,56,Male,Clothing,4,38,0,UPI,152.0
140,44,Male,Books,3,162,5,UPI,461.7
141,26,Female,Clothing,3,447,5,Credit Card,1273.95
142,32,Female,Sports,5,388,15,Credit Card,1649.0
143,32,Male,Books,1,82,5,Debit Card,77.89999999999999
144,43,Male,Home,4,263,15,Cash,894.1999999999999
145,59,Male,Clothing,5,460,10,Credit Card,2070.0
146,30,Male,Clothing,5,408,10,Cash,1836.0
147,49,Female,Sports,1,13,0,Debit Card,13.0
148,56,Male,Sports,4,246,5,Cash,934.8
149,49,Female,Electronics,1,47,0,Cash,47.0
150,21,Male,Electronics,3,29,20,UPI,69.60000000000001
151,47,Male,Electronics,2,122,0,Debit Card,244.0
152,54,Male,Sports,3,32,15,Credit Card,81.6
153,40,Male,Electronics,3,430,15,Cash,1096.5
154,56,Male,Electronics,5,455,0,Debit Card,2275.0
155,62,Female,Home,3,376,10,UPI,1015.2
156,32,Male,Electronics,4,145,20,UPI,464.0
157,60,Male,Clothing,3,430,0,Cash,1290.0
158,46,Male,Sports,4,257,10,Cash,925.2
159,53,Female,Books,1,310,0,Credit Card,310.0
160,30,Female,Home,5,106,5,Debit Card,503.5
161,49,Female,Sports,4,42,15,Credit Card,142.79999999999998
162,24,Female,Sports,3,144,5,Credit Card,410.4
163,39,Male,Clothing,5,264,5,UPI,1254.0
164,45,Male,Electronics,5,287,20,Debit Card,1148.0
165,19,Male,Clothing,4,142,10,Credit Card,511.2
166,59,Female,Electronics,4,247,15,UPI,839.8
167,62,Male,Electronics,2,24,5,Cash,45.599999999999994
168,23,Male,Sports,2,286,15,Credit Card,486.2
169,45,Female,Electronics,5,135,10,Cash,607.5
170,45,Female,Home,2,354,0,Debit Card,708.0
171,61,Female,Home,3,26,5,Credit Card,74.1
172,61,Male,Home,1,321,10,Cash,288.90000000000003
173,37,Male,Sports,5,59,15,Cash,250.75
174,47,Female,Clothing,1,144,10,Debit Card,129.6
175,28,Male,Books,2,127,0,UPI,254.0
176,45,Female,Electronics,4,387,10,UPI,1393.2
177,42,Female,Books,5,315,15,Credit Card,1338.75
178,56,Male,Clothing,2,69,5,Cash,131.1
179,50,Female,Clothing,3,134,5,UPI,381.9
180,18,Female,Sports,5,476,20,Credit Card,1904.0
181,44,Female,Home,5,125,15,Cash,531.25
182,30,Male,Home,4,400,20,Credit Card,1280.0
183,58,Female,Clothing,5,433,20,Debit Card,1732.0
184,20,Female,Sports,4,182,0,Credit Card,728.0
185,56,Female,Sports,2,196,15,Debit Card,333.2
186,23,Female,Electronics,3,97,5,Cash,276.45
187,25,Female,Home,3,212,15,Cash,540.6
188,44,Female,Clothing,5,370,0,Cash,1850.0
189,26,Female,Books,5,320,15,Credit Card,1360.0
190,54,Male,Home,2,329,15,Cash,559.3
191,50,Male,Electronics,4,458,20,Cash,1465.6000000000001
192,59,Female,Sports,3,191,15,Debit Card,487.05
193,61,Male,Clothing,4,361,20,Cash,1155.2
194,41,Male,Home,2,177,20,Cash,283.2
195,32,Female,Books,3,190,10,Cash,513.0
196,49,Male,Electronics,3,309,0,UPI,927.0
197,49,Female,Electronics,1,456,20,Cash,364.8
198,41,Female,Home,2,139,15,Credit Card,236.29999999999998
199,58,Female,Books,2,472,20,Debit Card,755.2
200,29,Female,Electronics,1,158,20,Cash,126.4
201,56,Female,Clothing,4,481,20,Credit Card,1539.2
202,19,Male,Electronics,1,315,5,Debit Card,299.25
203,20,Female,Books,2,218,5,Debit Card,414.2
204,54,Male,Sports,4,120,5,Credit Card,456.0
205,34,Female,Sports,3,445,5,Credit Card,1268.25
206,19,Female,Home,1,146,10,UPI,131.4
207,19,Female,Books,4,364,20,UPI,1164.8
208,45,Male,Electronics,4,413,10,Cash,1486.8
209,40,Female,Electronics,4,220,15,UPI,748.0
210,54,Female,Sports,1,155,0,Credit Card,155.0
211,49,Female,Sports,3,93,10,UPI,251.1
212,50,Female,Clothing,4,39,5,Debit Card,148.2
213,18,Male,Sports,1,497,5,Credit Card,472.15
214,36,Female,Clothing,2,74,15,Cash,125.8
215,19,Male,Electronics,1,33,20,Debit Card,26.400000000000002
216,61,Female,Clothing,1,481,0,Debit Card,481.0
217,43,Male,Clothing,1,440,10,Debit Card,396.0
218,49,Male,Home,4,220,20,Credit Card,704.0
219,23,Female,Sports,1,231,20,Credit Card,184.8
220,49,Female,Clothing,2,99,10,Cash,178.20000000000002
221,21,Male,Electronics,4,115,10,UPI,414.0
222,28,Female,Books,2,181,10,UPI,325.8
223,34,Female,Clothing,5,239,10,UPI,1075.5
224,55,Female,Sports,1,422,5,UPI,400.9
225,41,Male,Home,4,86,20,Debit Card,275.2
226,22,Female,Electronics,4,77,20,Credit Card,246.4
227,51,Female,Home,1,374,5,UPI,355.3
228,23,Female,Books,3,410,20,Debit Card,984.0
229,39,Male,Clothing,3,362,10,Credit Card,977.4
230,28,Female,Clothing,2,398,0,Credit Card,796.0
231,33,Male,Sports,1,101,20,Credit Card,80.80000000000001
232,50,Female,Clothing,1,97,0,Debit Card,97.0
233,26,Male,Electronics,5,474,0,UPI,2370.0
234,23,Female,Books,3,59,5,Credit Card,168.15
235,33,Female,Home,3,112,15,Debit Card,285.59999999999997
236,46,Male,Books,1,377,20,Credit Card,301.6
237,20,Male,Clothing,2,433,5,Cash,822.6999999999999
238,37,Male,Home,1,55,5,Cash,52.25
239,53,Female,Sports,2,188,0,Debit Card,376.0
240,36,Female,Books,3,276,20,UPI,662.4000000000001
241,43,Female,Home,5,277,5,UPI,1315.75
242,20,Female,Home,4,406,10,Credit Card,1461.6000000000001
243,36,Male,Home,3,329,5,UPI,937.65
244,37,Female,Electronics,2,17,10,UPI,30.6
245,49,Female,Books,1,458,15,Cash,389.3
246,24,Female,Home,3,274,10,Debit Card,739.8000000000001
247,58,Female,Books,5,485,10,Cash,2182.5
248,50,Female,Home,2,395,0,Debit Card,790.0
249,57,Female,Sports,1,87,5,Credit Card,82.64999999999999
250,56,Female,Sports,4,406,15,Cash,1380.3999999999999
251,35,Male,Sports,2,249,5,Debit Card,473.09999999999997
252,57,Female,Clothing,1,267,10,UPI,240.3
253,18,Female,Home,4,205,10,Debit Card,738.0
254,28,Female,Clothing,1,469,5,UPI,445.54999999999995
255,45,Female,Books,4,441,15,Credit Card,1499.3999999999999
256,42,Male,Clothing,4,339,15,UPI,1152.6
257,40,Male,Books,4,140,0,Debit Card,560.0
258,48,Male,Books,1,461,10,Cash,414.90000000000003
259,47,Male,Books,4,399,10,Debit Card,1436.4
260,59,Male,Clothing,2,352,0,Cash,704.0
261,52,Male,Home,5,270,5,Debit Card,1282.5
262,24,Female,Clothing,5,251,10,Debit Card,1129.5
263,33,Male,Home,4,396,5,Credit Card,1504.8
264,43,Male,Home,5,403,15,UPI,1712.75
265,19,Female,Books,5,180,20,Debit Card,720.0
266,18,Male,Clothing,4,156,0,Cash,624.0
267,29,Female,Home,4,279,10,UPI,1004.4
268,22,Female,Sports,2,158,0,Credit Card,316.0
269,54,Male,Home,3,389,15,UPI,991.9499999999999
270,49,Female,Sports,1,308,15,Debit Card,261.8
271,26,Male,Clothing,4,37,15,Cash,125.8
272,58,Male,Clothing,4,158,15,Cash,537.1999999999999
273,52,Female,Clothing,5,429,20,UPI,1716.0
274,36,Female,Home,2,289,5,Cash,549.1
275,33,Male,Electronics,5,191,5,Debit Card,907.25
276,20,Female,Home,4,175,20,Cash,560.0
277,37,Female,Home,4,26,5,Cash,98.8
278,41,Male,Books,5,159,15,Cash,675.75
279,50,Male,Books,4,348,5,Debit Card,1322.3999999999999
280,41,Female,Home,3,54,0,Credit Card,162.0
281,28,Male,Sports,1,339,5,Cash,322.05
282,25,Male,Books,1,198,0,Credit Card,198.0
283,53,Male,Home,1,148,10,UPI,133.20000000000002
284,55,Male,Electronics,3,70,0,UPI,210.0
285,57,Male,Sports,4,303,0,Debit Card,1212.0
286,37,Male,Clothing,5,331,15,Debit Card,1406.75
287,52,Male,Home,2,42,15,Debit Card,71.39999999999999
288,42,Female,Home,4,308,15,Debit Card,1047.2
289,52,Male,Sports,3,424,0,Credit Card,1272.0
290,42,Female,Books,3,121,20,Debit Card,290.40000000000003
291,46,Female,Books,1,300,15,Credit Card,255.0
292,35,Female,Books,4,46,15,Cash,156.4
293,63,Male,Clothing,1,440,0,Cash,440.0
294,35,Male,Sports,2,109,10,UPI,196.20000000000002
295,19,Female,Sports,1,32,10,UPI,28.8
296,52,Male,Books,2,429,5,Credit Card,815.0999999999999
297,33,Female,Books,3,433,10,Debit Card,1169.1000000000001
298,58,Male,Electronics,1,496,15,UPI,421.59999999999997
299,53,Male,Electronics,1,227,20,Credit Card,181.60000000000002
300,50,Female,Home,5,98,5,UPI,465.5
301,21,Female,Home,3,218,20,Debit Card,523.2
302,50,Female,Sports,5,280,20,Credit Card,1120.0
303,31,Male,Sports,2,430,15,UPI,731.0
304,38,Female,Clothing,2,246,0,Debit Card,492.0
305,37,Male,Clothing,3,397,0,Credit Card,1191.0
306,25,Male,Electronics,2,415,0,Credit Card,830.0
307,24,Male,Home,3,218,10,Credit Card,588.6
308,20,Female,Electronics,2,287,0,Cash,574.0
309,34,Female,Electronics,4,474,15,Credit Card,1611.6
310,50,Female,Home,1,215,10,UPI,193.5
311,29,Male,Clothing,4,87,0,Credit Card,348.0
312,39,Male,Home,3,410,20,Credit Card,984.0
313,39,Female,Books,3,337,15,Credit Card,859.35
314,63,Male,Books,4,107,15,Credit Card,363.8
315,47,Male,Books,1,355,5,Credit Card,337.25
316,55,Female,Sports,1,374,15,Cash,317.9
317,55,Female,Clothing,5,359,20,Debit Card,1436.0
318,62,Female,Clothing,2,479,15,Cash,814.3
319,25,Male,Sports,5,345,5,UPI,1638.75
320,44,Male,Electronics,1,103,15,Debit Card,87.55
321,44,Male,Books,4,89,15,UPI,302.59999999999997
322,51,Male,Books,2,47,5,Credit Card,89.3
323,38,Male,Electronics,4,417,15,UPI,1417.8
324,47,Female,Home,5,237,10,Cash,1066.5
325,50,Male,Home,3,492,15,Cash,1254.6
326,45,Male,Clothing,4,143,0,Credit Card,572.0
327,64,Male,Sports,5,205,0,Credit Card,1025.0
328,50,Female,Clothing,5,475,10,Debit Card,2137.5
329,22,Female,Home,5,399,15,Cash,1695.75
330,36,Female,Electronics,3,291,20,Cash,698.4000000000001
331,21,Male,Clothing,3,110,15,Debit Card,280.5
332,52,Female,Books,3,484,0,Cash,1452.0
333,34,Female,Books,2,434,5,Debit Card,824.5999999999999
334,61,Female,Electronics,3,84,10,Cash,226.8
335,45,Male,Home,3,303,5,UPI,863.55
336,47,Female,Books,3,217,20,UPI,520.8000000000001
337,46,Male,Books,4,92,15,Debit Card,312.8
338,63,Male,Sports,3,436,20,Debit Card,1046.4
339,23,Female,Clothing,2,446,5,Credit Card,847.4
340,52,Male,Home,5,152,15,Cash,646.0
341,58,Female,Clothing,4,483,20,UPI,1545.6000000000001
342,54,Male,Home,1,65,0,Credit Card,65.0
343,41,Female,Books,3,370,0,Cash,1110.0
344,46,Female,Sports,5,449,10,UPI,2020.5
345,63,Female,Clothing,5,296,0,Cash,1480.0
346,48,Male,Books,4,220,0,Debit Card,880.0
347,52,Female,Home,1,450,5,UPI,427.5
348,50,Male,Clothing,2,188,0,UPI,376.0
349,38,Female,Clothing,5,417,0,Credit Card,2085.0
350,49,Male,Books,5,67,5,Cash,318.25
351,40,Male,Clothing,5,82,0,Debit Card,410.0
352,50,Female,Sports,5,224,0,Debit Card,1120.0
353,20,Female,Sports,4,397,10,Cash,1429.2
354,35,Female,Books,1,275,0,Cash,275.0
355,42,Female,Home,5,456,0,Debit Card,2280.0
356,59,Female,Books,2,82,10,Cash,147.6
357,48,Male,Sports,2,476,5,Credit Card,904.4
358,20,Female,Electronics,3,280,0,Cash,840.0
359,57,Female,Electronics,5,363,20,Credit Card,1452.0
360,63,Male,Clothing,5,243,5,Credit Card,1154.25
361,41,Female,Clothing,5,328,5,Cash,1558.0
362,49,Female,Electronics,5,28,0,UPI,140.0
363,64,Male,Sports,5,122,10,UPI,549.0
364,39,Female,Clothing,2,72,5,Credit Card,136.79999999999998
365,40,Female,Books,1,381,10,Cash,342.90000000000003
366,19,Female,Books,1,193,20,Credit Card,154.4
367,44,Male,Sports,3,286,10,Cash,772.2
368,59,Female,Clothing,2,171,15,Cash,290.7
369,19,Male,Books,5,252,10,Debit Card,1134.0
370,43,Female,Clothing,1,154,5,UPI,146.29999999999998
371,34,Male,Clothing,4,155,10,UPI,558.0
372,57,Female,Books,4,90,10,Debit Card,324.0
373,50,Male,Electronics,4,331,15,Debit Card,1125.3999999999999
374,26,Male,Books,5,444,15,Debit Card,1887.0
375,60,Male,Sports,5,330,0,Credit Card,1650.0
376,56,Male,Home,3,52,5,Credit Card,148.2
377,46,Male,Books,3,322,0,Credit Card,966.0
378,59,Male,Clothing,3,403,15,Credit Card,1027.6499999999999
379,43,Female,Clothing,4,302,10,Credit Card,1087.2
380,52,Female,Books,5,185,15,UPI,786.25
381,42,Male,Home,4,385,20,UPI,1232.0
382,41,Male,Books,3,78,10,Cash,210.6
383,30,Male,Home,5,65,0,UPI,325.0
384,24,Male,Home,2,128,10,Debit Card,230.4
385,53,Female,Sports,1,213,20,UPI,170.4
386,62,Male,Clothing,1,429,15,Debit Card,364.65
387,37,Female,Clothing,3,424,5,UPI,1208.3999999999999
388,18,Female,Home,4,64,5,Credit Card,243.2
389,25,Male,Clothing,2,47,5,UPI,89.3
390,63,Male,Electronics,5,252,15,Cash,1071.0
391,33,Female,Home,4,210,5,Credit Card,798.0
392,31,Female,Clothing,3,245,20,Credit Card,588.0
393,29,Male,Electronics,4,483,15,Cash,1642.2
394,40,Male,Sports,3,24,5,UPI,68.39999999999999
395,32,Male,Clothing,1,153,0,UPI,153.0
396,45,Female,Electronics,1,86,15,Cash,73.1
397,51,Female,Books,4,482,15,Credit Card,1638.8
398,19,Male,Books,2,487,10,Cash,876.6
399,49,Female,Electronics,5,318,5,Debit Card,1510.5
400,40,Female,Home,3,449,0,Debit Card,1347.0
401,39,Male,Home,5,272,20,UPI,1088.0
402,42,Male,Clothing,1,194,15,Credit Card,164.9
403,39,Female,Books,2,64,20,Debit Card,102.4
404,39,Female,Home,2,317,20,Cash,507.20000000000005
405,59,Male,Home,5,13,20,UPI,52.0
406,23,Male,Books,1,308,10,UPI,277.2
407,32,Male,Sports,5,49,20,Credit Card,196.0
408,60,Male,Home,4,239,5,Debit Card,908.1999999999999
409,54,Male,Electronics,2,386,5,UPI,733.4
410,50,Female,Clothing,2,295,0,Cash,590.0
411,25,Female,Home,4,147,0,Debit Card,588.0
412,61,Female,Home,1,487,20,UPI,389.6
413,61,Female,Sports,2,112,20,UPI,179.20000000000002
414,22,Male,Electronics,3,16,10,Debit Card,43.2
415,56,Male,Clothing,3,173,20,Debit Card,415.20000000000005
416,21,Male,Home,1,428,20,Credit Card,342.40000000000003
417,23,Female,Clothing,4,481,20,Cash,1539.2
418,62,Female,Books,5,432,15,Credit Card,1836.0
419,49,Female,Home,1,429,15,Credit Card,364.65
420,47,Male,Home,5,374,10,Cash,1683.0
421,64,Female,Books,1,285,10,Cash,256.5
422,52,Male,Sports,3,58,5,Credit Card,165.29999999999998
423,57,Male,Home,4,105,10,Debit Card,378.0
424,33,Male,Clothing,3,68,5,Cash,193.79999999999998
425,30,Male,Electronics,4,240,20,Credit Card,768.0
426,59,Male,Clothing,5,186,10,Debit Card,837.0
427,47,Male,Sports,1,99,10,UPI,89.10000000000001
428,36,Female,Electronics,2,291,10,Debit Card,523.8000000000001
429,34,Male,Clothing,2,45,5,Credit Card,85.5
430,36,Male,Clothing,4,180,5,Cash,684.0
431,45,Female,Books,4,135,0,Debit Card,540.0
432,43,Male,Sports,3,492,5,Debit Card,1402.2
433,54,Female,Books,2,308,5,Debit Card,585.1999999999999
434,43,Female,Electronics,3,364,15,Cash,928.1999999999999
435,40,Female,Books,5,213,10,Cash,958.5
436,26,Male,Sports,2,298,5,Debit Card,566.1999999999999
437,29,Male,Home,5,365,10,Debit Card,1642.5
438,18,Female,Home,1,471,10,Credit Card,423.90000000000003
439,18,Male,Electronics,3,106,15,Cash,270.3
440,64,Male,Home,4,247,10,Debit Card,889.2
441,51,Female,Books,2,182,5,Cash,345.8
442,49,Female,Electronics,3,310,10,Cash,837.0
443,42,Male,Sports,4,97,0,Cash,388.0
444,57,Female,Electronics,1,408,0,Credit Card,408.0
445,62,Female,Electronics,2,360,15,UPI,612.0
446,18,Female,Clothing,5,26,5,Cash,123.5
447,33,Male,Clothing,1,149,15,Cash,126.64999999999999
448,56,Male,Electronics,4,263,0,Debit Card,1052.0
449,22,Male,Home,2,287,5,Cash,545.3
450,39,Female,Clothing,2,160,10,UPI,288.0
451,46,Male,Sports,1,355,5,Cash,337.25
452,20,Female,Books,2,343,20,Credit Card,548.8000000000001
453,29,Male,Clothing,4,149,5,Debit Card,566.1999999999999
454,43,Male,Electronics,1,123,10,UPI,110.7
455,33,Female,Home,5,77,20,Credit Card,308.0
456,54,Male,Books,1,375,15,UPI,318.75
457,39,Female,Clothing,1,188,5,Debit Card,178.6
458,46,Male,Home,5,134,15,Cash,569.5
459,31,Male,Home,4,406,5,Debit Card,1542.8
460,45,Female,Home,3,322,0,Debit Card,966.0
461,22,Female,Electronics,3,320,0,Cash,960.0
462,64,Female,Sports,5,347,10,Credit Card,1561.5
463,47,Male,Home,4,372,0,UPI,1488.0
464,63,Male,Books,2,421,20,Credit Card,673.6
465,22,Male,Clothing,5,367,20,Cash,1468.0
466,29,Female,Books,3,242,5,UPI,689.6999999999999
467,33,Female,Electronics,4,437,15,Cash,1485.8
468,43,Female,Electronics,1,156,20,Credit Card,124.80000000000001
469,43,Male,Books,4,439,5,Debit Card,1668.1999999999998
470,38,Male,Sports,4,120,15,UPI,408.0
471,56,Female,Electronics,3,372,0,Cash,1116.0
472,53,Male,Electronics,3,367,5,UPI,1045.95
473,50,Female,Books,2,247,15,UPI,419.9
474,47,Male,Electronics,2,12,10,Credit Card,21.6
475,54,Male,Sports,5,220,10,Debit Card,990.0
476,40,Female,Sports,1,413,20,UPI,330.40000000000003
477,27,Male,Sports,2,34,15,Credit Card,57.8
478,22,Male,Clothing,3,340,10,UPI,918.0
479,53,Female,Sports,4,193,20,Debit Card,617.6
480,51,Female,Sports,5,474,5,UPI,2251.5
481,48,Male,Clothing,2,70,5,Debit Card,133.0
482,27,Female,Home,4,132,15,Credit Card,448.8
483,36,Male,Electronics,4,64,15,Credit Card,217.6
484,49,Female,Sports,2,172,15,Debit Card,292.4
485,18,Male,Electronics,1,471,15,Debit Card,400.34999999999997
486,22,Male,Books,1,196,10,Credit Card,176.4
487,62,Female,Electronics,5,48,10,Debit Card,216.0
488,21,Male,Clothing,1,194,20,Debit Card,155.20000000000002
489,33,Male,Electronics,5,92,10,Cash,414.0
490,41,Female,Electronics,3,204,5,UPI,581.4
491,33,Female,Electronics,2,43,20,Credit Card,68.8
492,19,Male,Home,4,122,10,Credit Card,439.2
493,45,Female,Home,5,434,15,Cash,1844.5
494,49,Female,Books,1,415,10,Debit Card,373.5
495,44,Male,Clothing,5,239,0,Debit Card,1195.0
496,37,Male,Electronics,5,292,20,Debit Card,1168.0
497,41,Female,Electronics,1,414,10,Credit Card,372.6
498,29,Female,Electronics,1,434,10,Cash,390.6
499,52,Female,Electronics,2,296,5,UPI,562.4
500,50,Male,Home,4,164,15,Cash,557.6
501,50,Male,Books,2,174,15,Credit Card,295.8
502,60,Male,Sports,2,459,5,UPI,872.0999999999999
503,54,Male,Clothing,1,191,5,Debit Card,181.45
504,29,Male,Electronics,1,248,0,Cash,248.0
505,20,Male,Books,4,146,20,Cash,467.20000000000005
506,18,Male,Sports,5,348,15,Credit Card,1479.0
507,50,Female,Books,2,435,5,Cash,826.5
508,57,Female,Home,4,429,5,UPI,1630.1999999999998
509,27,Male,Sports,2,275,20,Cash,440.0
510,60,Male,Books,5,196,5,Credit Card,931.0
511,61,Male,Home,2,49,0,Cash,98.0
512,46,Female,Books,3,319,20,UPI,765.6
513,30,Male,Books,4,176,0,UPI,704.0
